Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
cn	193382330	3680.808747953862	3331	4442	26032	10.231869312169312	1.7871372921172433	2	-1.1191082010440148	yeast
sc	207924517	3339.2409623074823	3007	4081	27288	17.18384438016529	1.9215284988869756	2	-1.0408380625936478	yeast
lf	1006710072	2610.4444530879273	2087	3612	23038	528.4567307086614	9.303482443412669	12	-1.2898395921085013	grampos
pa	1053318744	6509.602274272294	5130	8995	45040	155.08226501766785	9.734215157550825	12	-1.2327650258163452	gramneg
ec	1077038657	6039.954558964551	4691	8308	49632	220.93100656410257	9.95342205762322	12	-1.2056155089705383	gramneg
se	1082882303	6003.705198786932	4619	8555	43071	227.49628214285715	10.007425945613047	12	-1.1991095477714164	gramneg
sa	1217513913	3635.835076822003	3190	4461	39431	445.9757923076923	11.251620132997099	12	-1.0665130761754178	grampos
ef	1321012599	3720.638217152514	3288	4447	45317	464.3278028119508	12.208100290391691	12	1.0173416908659743	grampos
lm	1572106830	3721.4297414823636	3369	4462	41348	525.4367747326203	14.52858047105557	12	1.2107150392546309	grampos
bs	2088897607	3619.1253155411714	3308	4296	44923	516.4147359703337	19.304487710351662	12	1.6087073091959718	grampos
