Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
sa	75606	2362.6875	1828.5	3030	9602	0.027171362219422245	6.19047753857223e-5	8.9e-5	-1.4376919946070417	grampos
cn	681313	4179.834355828221	3837	4960	11628	0.03576085394428972	5.578463115675029e-4	8.9e-4	-1.5954215014869815	yeast
ef	1411516	5387.465648854962	4957.5	6805	18672	0.4386272226712546	0.0011557228385756845	8.9e-4	1.2985649871636904	grampos
lf	3870852	2798.880694143167	2342	3353	10378	1.8444178140121077	0.0031693810492735225	0.0089	-2.8081192704929046	grampos
ec	94239604	6921.240011750881	5881	9168	40517	18.36754699638475	0.07716162100970052	0.089	-1.1534231504650634	gramneg
se	95623405	6792.399843727802	5688.5	9136	36385	19.790611322260478	0.07829465132585978	0.089	-1.136731545423006	gramneg
sc	752445541	3966.272598847721	3536	4743	33300	61.89348047911078	0.616088302589653	0.89	-1.4445981140349398	yeast
bs	1437552652	4300.714870803778	3820	5031	35039	355.33055456478604	1.1770411611143219	0.89	1.3225181585554178	grampos
pa	10060950051	7076.445154288511	6020	9328	46849	1481.4396600785149	8.237717285322942	8.9	-1.0803963879480352	gramneg
lm	109685892094	4198.083318674509	3797	4965	48738	37158.92211511262	89.80875212366271	89.1	1.0079545692891438	grampos
