Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
sa	102319	3300.6129032258063	2869	4691	7385	0.03677150769686354	8.633656939581946e-5	8.9e-5	-1.0308493912002659	grampos
ef	600248	3637.866666666667	3297	4546	13515	0.18652648156590163	5.06488072661987e-4	8.9e-4	-1.757198338990217	grampos
cn	811771	4460.280219780219	4082	5425	13398	0.04260835206022783	6.849707608070228e-4	8.9e-4	-1.2993255346424053	yeast
lf	5816512	2060.400991852639	1469	2816	11927	2.7715031078985173	0.004907961296822845	0.0089	-1.8133802330025282	grampos
ec	23229830	3236.7047512888394	2953	4171	16404	4.527555041965461	0.01960128451067826	0.089	-4.5405187579168675	gramneg
se	24176038	3432.6335368450946	3186	4389	11527	5.003571786323647	0.020399692945620742	0.089	-4.3628107656937	gramneg
sc	1067163122	3607.8892239659754	3249	4771	45982	87.78102368943922	0.900470127143662	0.89	1.0117641878018675	yeast
bs	1392421816	3846.5328596606573	3589	4850	35864	344.1752309934777	1.1749227684529457	0.89	1.3201379420819614	grampos
pa	2515907706	3623.185937029714	3407	NA	18105	370.45859862857554	2.1229179355989207	8.9	-4.192342930810992	gramneg
lm	113481544636	3906.438445688273	3598	NA	43381	38444.797212553	95.75550243464849	89.1	1.0746969970218687	grampos
