Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
cn	99418979	3653.6319503142113	3136	4813	25559	5.218317553473082	1.1834422098194182	2	-1.6899853523943351	yeast
sc	150981759	3287.572324442025	2799	4451	29622	12.419219789579838	1.7972241146570498	2	-1.1128272671667576	yeast
lf	771755191	1876.352863804564	1184	2728	23026	367.73274264599024	9.186653070302071	12	-1.3062428621357987	grampos
sa	816365245	3311.880294203557	2822.5	4502	32269	293.38618330876363	9.717672614225608	12	-1.2348635806513295	grampos
lm	887960302	3615.679647862663	3179	4730	28449	300.81943150038705	10.569910419526616	12	-1.1352981741294106	grampos
ef	950547164	3303.286664488911	2901	4318	28762	295.3816057085839	11.314918415142253	12	-1.0605467542692073	grampos
ec	1088753703	3122.429515784885	2756	4041	23517	212.20096391046408	12.960071620001193	12	1.0800059683334327	gramneg
pa	1155630580	3436.53340390986	3113	4379	14383	170.1625557162342	13.756146171347181	12	1.1463455142789318	gramneg
se	1195004084	3234.9779345480924	2877	4231	17202	247.32293683704228	14.224832000258115	12	1.1854026666881763	gramneg
bs	1284413906	3565.281094554983	3191	4601	28724	317.478114540533	15.289129364720496	12	1.2740941137267081	grampos
