Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
cn	99418979	3653.6319503142113	3136	4813	25559	5.218317553473082	1.1834422098194182	10	-8.449926761971675	yeast
sc	150981759	3287.572324442025	2799	4451	29622	12.419219789579838	1.7972241146570498	10	-5.564136335833788	yeast
lf	771755191	1876.352863804564	1184	2728	23026	367.73274264599024	9.186653070302071	10	-1.0885357184464988	grampos
sa	816365245	3311.880294203557	2822.5	4502	32269	293.38618330876363	9.717672614225608	10	-1.029052983876108	grampos
lm	887960302	3615.679647862663	3179	4730	28449	300.81943150038705	10.569910419526616	10	1.0569910419526616	grampos
ef	950547164	3303.286664488911	2901	4318	28762	295.3816057085839	11.314918415142253	10	1.1314918415142254	grampos
ec	1088753703	3122.429515784885	2756	4041	23517	212.20096391046408	12.960071620001193	10	1.2960071620001192	gramneg
pa	1155630580	3436.53340390986	3113	4379	14383	170.1625557162342	13.756146171347181	10	1.375614617134718	gramneg
se	1195004084	3234.9779345480924	2877	4231	17202	247.32293683704228	14.224832000258115	10	1.4224832000258114	gramneg
bs	1284413906	3565.281094554983	3191	4601	28724	317.478114540533	15.289129364720496	10	1.5289129364720497	grampos
