Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
cn	3140914	3955.8110831234258	2749	6182	22598	0.16486074213404822	0.04021500031772576	10	-248.66343207741443	yeast
sc	71828199	4173.146583778759	2992	6292	34848	5.90833088963203	0.9196593875561921	10	-10.87359095694436	yeast
ef	532810174	3615.115439939206	2544	5494	41917	165.57024279753676	6.821887296722394	10	-1.4658700100197413	grampos
lm	560609957	4053.8133586903073	2888	6177	60619	189.921067617949	7.177824543707732	10	-1.3931797773973535	grampos
sa	670818095	3441.981471884573	2132	5946	46650	241.079298502603	8.588885242818236	10	-1.1642954489771178	grampos
bs	890796575	4126.312406777776	3008	6176	42874	220.18479848984484	11.405401277034018	10	1.1405401277034017	grampos
ec	991976137	4393.746454356204	3109	6726	53569	193.3387614366429	12.70086371821431	10	1.270086371821431	gramneg
pa	1106822460	5007.045640638218	3626	7585	50283	162.97573097947046	14.171309873675627	10	1.4171309873675626	gramneg
se	1192512033	3702.6256023497854	2190	6537	54382	246.8071717611568	15.268444722137186	10	1.5268444722137187	gramneg
lf	1788990007	1085.6648396162466	809	1156	31525	852.433789253747	22.90550893781658	10	2.290550893781658	grampos
