Abbrev	Species	GenomeSize	CellType		Strain	Accession	Canonical	WebLink
pa	Pseudomonas aeruginosa	6792000	gramneg				Yes	ftp://ftp.sanger.ac.uk/pub/project/pathogens/NCTC3000/datalinks_automatic/ERS666351.gff
lm	Listeria monocytogenes	2992000	grampos		ATCC19117		Yes	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=405748335&extrafeat=null&conwithfeat=on
ec	Escherichia coli	4875000	gramneg		ATCC25922		Yes	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=674299053&extrafeat=null&conwithfeat=on
lf	Lactobacillus fermentum	1905000	grampos		Beijerinck		Yes	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=184154476&extrafeat=null&conwithfeat=on
bs	Bacillus subtilis	4045000	grampos	Bacillus subtilis (Ehrenberg 1835) Cohn 1872 ATCC 6633=NRRL B-209=NRS-231=PCI 219	ATCC6633		No	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=1199772504&extrafeat=null&conwithfeat=on
cn	Cryptococcus neoformans	18900000	yeast	Cryptococcus deneoformans T. Boekout & F. Hagen (2014) 32045=ATCC 32719=CBS 132=CCRC 20528=CCY 17-1- 2=DBVPG 6010=IFO 0608=IGC 3957=NRRL Y-8347=PYCC 3957		NC_006670.1 NC_006684.1 NC_006685.1 NC_006686.1 NC_006687.1 NC_006691.1 NC_006692.1 NC_006693.1 NC_006694.1 NC_006679.1 NC_006680.1 NC_006681.1 NC_006682.1 NC_006683.1	No	
ef	Enterococcus faecalis	2845000	grampos	Enterococcus faecalis (Andrewes and Horder 1906) Schleifer and Kilpper-Blz 1984 ATCC 7080		NC_004668.1	No	
sc	Saccharomyces cerevisiae	12100000	yeast	Saccharomyces cerevisiae Meyen ex E. C. Hansen (1883) ATCC 9763=CBS 2978=CBS 5900=CCY 21-4-48=CCY 21-4- 54=NCTC 10716=NCTC 7239=NCYC 87=Pattee 6=PCI M50		NC_001133.9 NC_001134.8 NC_001135.5 NC_001136.10 NC_001137.3 NC_001138.5 NC_001139.9 NC_001140.6 NC_001141.2 NC_001142.9 NC_001143.9 NC_001144.5 NC_001145.3 NC_001146.8 NC_001147.6 NC_001148.4 NC_001224.1	No	
se	Salmonella enterica	4760000	gramneg	"Salmonella enterica subspecies enterica, Castellani and Chalmers 1919, TA1536"		CP009102 CP009103	Yes	
sa	Staphylococcus aureus	2730000	grampos	Staphylococcus aureus Rosenbach 1884		CP011526 CP011527	Yes	
